City,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed (mph),Country,Date
Oranjemund,-28.55,16.4333,63.91,84,18,14.65,NA,1666193137
Faya,18.3851,42.4509,73.51,47,1,3.27,SA,1666193138
Teya,60.3778,92.6267,31.5,95,97,3.06,RU,1666193138
Trat,12.5,102.5,82.87,75,100,6.78,TH,1666193138
Narsaq,60.9167,-46.05,35.82,99,100,4.97,GL,1666193139
Yārāda,17.65,83.2667,84.52,79,20,3.44,IN,1666193139
Måløy,61.9353,5.1136,46.13,52,89,6.64,NO,1666193139
Progreso,21.2833,-89.6667,77.11,84,100,18.14,MX,1666193139
Cap Malheureux,-19.9842,57.6142,70.47,73,59,3.0,MU,1666193111
Shache,38.4167,77.2406,59.85,18,95,10.67,CN,1666193140
Praia,14.9215,-23.5087,90.14,55,20,19.57,CV,1666193140
Mardan,34.2019,72.0525,74.52,35,5,6.04,PK,1666193140
Gravdal,68.1214,13.5031,42.69,100,75,13.8,NO,1666193141
Soe,-9.8607,124.284,69.24,89,100,2.33,ID,1666193141
Altamont,42.2068,-121.7372,51.78,62,0,0.0,US,1666193142
Merrill,45.1805,-89.6835,35.62,76,100,6.91,US,1666193142
Ţaga,46.95,24.05,57.52,68,46,10.47,RO,1666193142
Shājāpur,23.4333,76.2667,71.35,53,1,6.22,IN,1666193143
Zalesovo,53.9939,84.7431,37.83,74,89,6.13,RU,1666193143
Tuatapere,-46.1333,167.6833,39.34,88,100,5.75,NZ,1666193143
Kashan,33.9831,51.4364,74.8,31,0,0.81,IR,1666193143
Mount Gambier,-37.8333,140.7667,51.71,100,100,5.75,AU,1666193144
Malanje,-9.5402,16.341,83.71,39,91,3.87,AO,1666193144
‘Ewa Beach,21.3156,-158.0072,73.4,81,0,5.75,US,1666193004
General Roca,-39.0333,-67.5833,77.63,37,13,10.6,AR,1666193145
Grand Gaube,-20.0064,57.6608,72.0,73,62,3.0,MU,1666193145
Broome,42.2506,-75.833,43.63,73,100,12.66,US,1666193145
Kapiri Mposhi,-13.9652,28.6809,86.58,17,76,9.89,ZM,1666193146
Saint Anthony,45.0205,-93.218,35.74,63,0,9.22,US,1666193146
Luganville,-15.5333,167.1667,78.93,85,58,9.82,VU,1666193146
Bandrele,-12.9067,45.1914,78.55,73,75,3.44,YT,1666193147
Akom,2.6678,12.7109,78.75,79,98,1.72,CM,1666193148
Srīvardhan,18.0333,73.0167,79.79,84,56,2.42,IN,1666193148
Kavieng,-2.5744,150.7967,81.41,80,72,11.27,PG,1666193148
Porto Belo,-27.1578,-48.5531,76.68,79,60,7.56,BR,1666193016
Cristalina,-16.7686,-47.6136,86.29,24,97,8.7,BR,1666193149
Elk River,45.3038,-93.5672,35.91,69,100,5.99,US,1666193149
Cairns,-16.9167,145.7667,79.07,91,40,0.0,AU,1666192997
Umluj,25.0213,37.2685,83.19,67,3,6.13,SA,1666193075
Camaná,-16.6228,-72.7111,65.32,75,57,9.33,PE,1666193150
Boysun,38.2061,67.1986,43.65,60,1,7.9,UZ,1666193150
Dalby,-27.1833,151.2667,62.98,92,100,14.36,AU,1666193150
Hirara,24.8,125.2833,75.51,77,100,29.55,JP,1666193151
Cam Ranh,11.9214,109.1591,78.76,83,75,10.36,VN,1666193152
Vanimo,-2.6741,141.3028,77.34,90,95,3.83,PG,1666193152
Vila do Maio,15.1333,-23.2167,90.39,78,9,10.71,CV,1666193153
San Patricio,28.017,-97.5169,62.91,30,3,9.42,US,1666193154
Chemal,51.4111,86.005,32.31,93,37,3.11,RU,1666193154
Sydney,-33.8679,151.2073,65.62,92,75,8.05,AU,1666193158
Stalowa Wola,50.5829,22.0533,51.85,87,91,5.01,PL,1666193158
Mogadishu,2.0371,45.3438,78.1,78,14,12.55,SO,1666193144
Santa Maria,-29.6842,-53.8069,74.5,60,75,6.91,BR,1666193158
Nemuro,43.3236,145.575,49.6,63,82,13.2,JP,1666193159
Kumul,42.8,93.45,57.54,29,95,6.11,CN,1666193159
Aklavik,68.2191,-135.0107,26.6,93,100,6.91,CA,1666193159
Katima Mulilo,-17.5,24.2667,84.72,28,99,11.56,NA,1666193160
Puerto Maldonado,-12.6,-69.1833,84.6,89,0,4.61,PE,1666193160
Lincoln,40.8,-96.667,44.15,46,0,4.61,US,1666193021
Ambilobe,-13.2,49.05,77.05,62,22,2.77,MG,1666193161
Moerai,-22.4333,-151.3333,72.23,80,17,23.11,PF,1666193161
Jodhpur,26.2867,73.03,83.14,22,2,4.12,IN,1666192996
Redlands,34.0556,-117.1825,78.44,43,0,4.27,US,1666193014
Dennery,13.8996,-60.8879,87.93,70,40,17.27,LC,1666193161
Kirkland Lake,48.1446,-80.0377,35.89,93,100,41.43,CA,1666193162
Athabasca,54.7169,-113.2854,39.61,49,50,6.53,CA,1666192871
Houma,29.5958,-90.7195,55.4,54,0,9.22,US,1666193162
Chicama,-7.8447,-79.1469,59.54,65,100,7.56,PE,1666193164
Meulaboh,4.1363,96.1285,76.17,87,100,1.12,ID,1666193164
Bandarbeyla,9.4942,50.8122,78.55,84,7,15.48,SO,1666193164
Juegang,32.3174,121.1855,59.92,63,2,8.84,CN,1666193165
João Pinheiro,-17.7425,-46.1725,90.64,26,52,9.8,BR,1666193165
Atambua,-9.1061,124.8925,77.72,81,100,2.08,ID,1666193165
Christchurch,-43.5333,172.6333,45.91,69,20,1.14,NZ,1666193143
Matão,-21.6033,-48.3658,75.85,57,100,6.71,BR,1666193166
Kashgar,39.4547,75.9797,60.01,33,53,26.84,CN,1666193166
Marfino,55.7028,37.3822,45.09,87,100,4.47,RU,1666193166
Mombasa,-4.0547,39.6636,77.0,78,10,12.21,KE,1666193167
Sindor,62.8629,51.8905,35.53,95,100,10.13,RU,1666193167
Slavutych,51.5196,30.7343,49.19,83,85,1.99,UA,1666193167
Filingué,14.3521,3.3168,97.81,12,4,3.36,NE,1666193168
Amarante do Maranhão,-5.5667,-46.7422,96.84,29,35,9.22,BR,1666193168
Guiratinga,-16.3494,-53.7583,98.82,20,16,5.37,BR,1666193168
Atasū,48.6814,71.6433,46.36,39,100,18.37,KZ,1666193169
College,64.8569,-147.8028,32.58,93,75,0.0,US,1666193169
Nādāpuram,11.7,75.6667,75.79,94,100,1.92,IN,1666193171
Ilmajoki,62.7333,22.5667,42.22,88,0,5.75,FI,1666193171
San Rafael,-34.6177,-68.3301,63.16,52,100,3.38,AR,1666192905
Bridlington,54.0831,-0.1919,56.01,80,100,15.99,GB,1666193171
Vallenar,-28.5708,-70.7581,71.8,22,0,9.93,CL,1666193172
Zadar,44.1197,15.2422,75.81,43,20,9.22,HR,1666193172
Malbork,54.0359,19.0266,49.87,54,100,13.29,PL,1666193173
Port Hardy,50.6996,-127.4199,53.78,94,75,3.44,CA,1666193173
Campbell River,50.0163,-125.2446,51.46,100,20,2.3,CA,1666193173
Antofagasta,-23.65,-70.4,61.88,66,13,9.53,CL,1666193174
Iguape,-24.7081,-47.5553,73.78,82,97,2.66,BR,1666193174
Tornabé,15.75,-87.55,84.18,79,75,0.0,HN,1666193174
Maţāy,28.419,30.7792,80.94,30,4,8.79,EG,1666192876
Ushtobe,45.2514,77.9838,50.31,40,100,6.58,KZ,1666193175
Truckee,39.328,-120.1833,60.57,45,58,3.15,US,1666193176
Bahía de Caráquez,-0.6,-80.4167,73.58,77,100,4.97,EC,1666193177
Shunyi,40.125,116.6453,48.15,76,0,2.24,CN,1666193177
Gmina Jędrzejów,50.6394,20.3045,51.37,84,99,3.0,PL,1666193177
Mabaruma,8.2,-59.7833,78.8,89,75,9.22,GY,1666193178
Iralaya,15.0,-83.2333,83.88,72,99,6.64,HN,1666193178
Plouzané,48.3833,-4.6167,68.32,82,75,13.8,FR,1666193178
Rundu,-17.9333,19.7667,89.42,21,75,6.71,NA,1666193179
Morondava,-20.2833,44.2833,79.34,79,0,13.62,MG,1666193179
Qaqortoq,60.7167,-46.0333,37.42,98,100,6.67,GL,1666193180
Port Lincoln,-34.7333,135.8667,57.51,88,58,10.07,AU,1666193181
Bacolod City,10.6667,122.95,79.66,84,98,3.8,PH,1666193181
Linjiang,41.8069,126.9078,35.38,71,0,3.06,CN,1666193182
Yamoussoukro,6.8206,-5.2767,85.48,62,100,2.57,CI,1666193182
Korla,41.7597,86.1469,57.81,22,74,9.55,CN,1666193182
Edmundston,47.3737,-68.3251,62.13,97,100,10.36,CA,1666193183
Coyhaique,-45.5752,-72.0662,60.75,55,75,6.91,CL,1666193183
Kidal,18.4411,1.4078,94.89,13,3,13.2,ML,1666193184
New Kensington,40.5698,-79.7648,41.4,94,100,3.0,US,1666193184
Tateyama,34.9833,139.8667,60.67,67,99,16.58,JP,1666193028
Voh,-20.9667,164.7,69.73,85,67,4.45,NC,1666193184
Barentu,15.1139,37.5928,87.67,18,1,9.22,ER,1666193185
Robertsport,6.7533,-11.3686,79.32,80,100,7.83,LR,1666193185
Riyadh,24.6877,46.7219,91.54,11,49,2.98,SA,1666193186
Fredericton,45.9454,-66.6656,63.64,93,100,11.5,CA,1666193187
Tublay,16.5431,120.6096,67.77,96,100,2.33,PH,1666193187
Tura,25.5198,90.2201,68.49,76,0,3.76,IN,1666193187
Miyazu,35.5333,135.1833,53.87,72,5,4.74,JP,1666193188
Vavuniya,8.7514,80.4971,75.29,93,94,3.29,LK,1666193188
Salihorsk,52.7876,27.5415,44.78,66,95,15.59,BY,1666193188
Sinnamary,5.3833,-52.95,84.85,69,70,11.1,GF,1666193189
Kolokani,13.5728,-8.0339,96.67,21,68,3.56,ML,1666193189
Monrovia,6.3005,-10.7969,78.22,82,100,3.51,LR,1666193128
Gao,16.6362,1.637,96.53,11,0,10.36,ML,1666193189
Aleksandriyskaya,44.2272,43.3453,50.63,59,24,3.67,RU,1666193190
Doha,25.2867,51.5333,89.49,62,0,8.05,QA,1666193190
Huarmey,-10.0681,-78.1522,66.22,73,97,10.58,PE,1666193191
Strezhevoy,60.7333,77.5889,39.83,97,100,12.66,RU,1666193191
Salekhard,66.53,66.6019,37.11,97,100,10.74,RU,1666193192
Bilma,18.6853,12.9164,88.97,17,0,7.36,NE,1666193192
Sawtell,-30.3833,153.1,66.22,82,75,12.66,AU,1666193192
Buin,-33.7333,-70.75,69.12,42,25,3.78,CL,1666193193
Aykhal,66.0,111.5,18.01,94,96,7.72,RU,1666193193
Touros,-5.1989,-35.4608,85.41,55,17,19.8,BR,1666193194
Biak,-0.9131,122.8766,77.05,87,90,0.78,ID,1666193194
Tataouine,32.9297,10.4518,78.04,39,0,11.39,TN,1666193194
Puerto Peñasco,31.3167,-113.5333,79.93,44,2,4.65,MX,1666193194
Beira,-19.8436,34.8389,82.49,65,75,14.97,MZ,1666193195
Tokmak,47.2514,35.7058,57.22,34,99,7.07,UA,1666193195
Lagoa,39.05,-27.9833,64.94,73,100,34.61,PT,1666193197
Huangpu,25.4433,113.1747,64.78,27,100,1.54,CN,1666193197
Griffith,41.5284,-87.4237,41.47,64,0,11.5,US,1666193197
Ōhara,35.25,140.3833,59.92,63,89,14.5,JP,1666193198
Mānsa,29.9833,75.3833,76.21,43,0,7.87,IN,1666193199
Tomatlán,19.9333,-105.25,77.27,88,100,2.84,MX,1666193199
Kimbe,-5.5502,150.1429,75.7,93,100,3.24,PG,1666193199
Baghdad,33.3406,44.4009,89.51,17,0,1.14,IQ,1666193106
São Miguel do Araguaia,-13.275,-50.1628,101.32,16,26,11.01,BR,1666193201
Toamasina,-18.1667,49.3833,75.2,73,75,5.75,MG,1666193201
Kyra,49.5776,111.9753,41.58,52,100,3.8,RU,1666193201
Nuuk,64.1835,-51.7216,30.81,93,100,6.91,GL,1666193202
Florø,61.5996,5.0328,46.47,71,40,10.36,NO,1666193202
Damaturu,11.747,11.9608,95.63,18,100,9.46,NG,1666193202
San Carlos del Zulia,9.0,-71.9135,85.53,67,77,3.06,VE,1666193203
Usakos,-22.0,15.6,92.28,13,1,17.9,NA,1666193203
High Level,58.5169,-117.136,39.31,100,100,0.0,CA,1666193203
Örnsköldsvik,63.2909,18.7153,45.55,76,78,14.97,SE,1666193204
Zhigansk,66.7697,123.3711,16.05,96,98,7.16,RU,1666193204
Rochegda,62.8,43.25,36.66,88,99,5.99,RU,1666193204
Moa,20.6569,-74.9403,85.51,66,23,2.64,CU,1666193206
Lixouri,38.2019,20.4314,73.4,68,20,5.75,GR,1666193207
Marsabit,2.3284,37.9899,76.68,40,97,18.79,KE,1666193207
